label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.002380952	0.012380952	0.004761905	0	0.00047619	0.013809524	0.008571429	0.007619048	0.016190476	0.00952381	0.012380952	0.01047619	0.00952381	0.00047619	0	0.004285714	0.006666667	0.007142857	0.004285714	0.006666667
1	0.015555556	0.005777778	0.011111111	0.011111111	0	0.006666667	0.009333333	0	0.008	0.010666667	0.012	0.008888889	0.008888889	0.02	0.003555556	0.014666667	0.013777778	0.010222222	0.017777778	0.009333333
1	0.02	0.008181818	0.002727273	0.004545455	0	0.012272727	0.009545455	0.005454545	0.004545455	0.014090909	0.016818182	0.006818182	0.014090909	0.01	0.010909091	0.012272727	0.004090909	0.007272727	0.009090909	0.013181818
1	0.019375	0.016875	0.01	0.01	0	0.018125	0.019375	0.0075	0.00125	0.01875	0.016875	0.0175	0.011875	0.02	0.0175	0.013125	0.001875	0.016875	0.011875	0.01625
1	0.02	0.005106383	0.006382979	0.001702128	0	0.009361702	0.007659574	0.007659574	0.000851064	0.01106383	0.017446809	0.006382979	0.010638298	0.005106383	0.014893617	0.012340426	0.008085106	0.000851064	0.002553191	0.007234043
1	0.02	0.005384615	0.005384615	0.007692308	0	0.016538462	0.008461538	0.005384615	0.005	0.010769231	0.015	0.004230769	0.014230769	0.006153846	0.006923077	0.011538462	0.007307692	0.004230769	0.009615385	0.01
1	0.013043478	0.005217391	0.00173913	0.006956522	0	0.00173913	0.004347826	0.01826087	0.00173913	0.02	0.019565217	0.002173913	0.012608696	0.012173913	0.013913043	0.009130435	0.00826087	0.00826087	0.010869565	0.014347826
1	0.02	0.006222222	0.005777778	0.004444444	0	0.015111111	0.012444444	0	0.004444444	0.014666667	0.017777778	0.008	0.011555556	0.001333333	0.003111111	0.016	0.011111111	0.000888889	0.004	0.012444444
1	0.012	0.0048	0.0056	0.0044	0	0.0088	0.008	0.0072	0.0036	0.012	0.02	0.0068	0.0136	0.0012	0.0056	0.014	0.0104	0.0132	0.0032	0.0084
1	0.02	0.007733333	0.004266667	0.006666667	0	0.006933333	0.005066667	0.0048	0.004266667	0.005866667	0.008266667	0.004533333	0.006933333	0.006666667	0.004266667	0.004533333	0	0.004533333	0.0056	0.004
